dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,3,4,FlowOCT,0,0.9,0,1951.378215,0,0.701,0.675,0.903,0.765
blsc,3,4,FlowOCT,0,0.91,0,3512.320967,0,0.697,0.675,0.914,0.809
blsc,3,4,FlowOCT,0,0.92,0,2071.776809,0,0.694,0.669,0.935,0.833
blsc,3,4,FlowOCT,0,0.93,0,2369.451844,0,0.694,0.669,0.935,0.833
blsc,3,4,FlowOCT,0,0.94,0.167078189,3600.162492,0,0.635,0.592,0.944,0.846
blsc,3,4,FlowOCT,0,0.95,0.150528885,3600.091601,0,0.630,0.592,0.976,0.913
blsc,3,4,FlowOCT,0,0.96,0.152969894,3600.112905,0,0.630,0.592,0.976,0.913
blsc,3,4,FlowOCT,0,0.97,0.082994304,3600.053847,0,0.630,0.592,0.976,0.913
blsc,4,1,FlowOCT,0,0.88,1,3600.175171,0,0.756,0.726,0.901,0.828
blsc,4,1,FlowOCT,0,0.89,1,3600.211628,0,0.737,0.701,0.963,0.930
blsc,4,1,FlowOCT,0,0.9,1,3600.179234,0,0.763,0.732,0.901,0.873
blsc,4,1,FlowOCT,0,0.91,1,3600.164902,0,0.729,0.701,0.915,0.875
blsc,4,1,FlowOCT,0,0.92,1,3600.179534,0,0.741,0.707,0.930,0.913
blsc,4,1,FlowOCT,0,0.93,1,3600.214888,0,0.688,0.631,0.932,0.745
blsc,4,1,FlowOCT,0,0.94,1,3600.373799,0,0.682,0.650,0.946,0.865
blsc,4,1,FlowOCT,0,0.95,1,3600.318909,0,0.690,0.694,0.956,0.905
blsc,4,1,FlowOCT,0,0.96,1,3600.762016,0,0.705,0.707,0.974,0.930
blsc,4,1,FlowOCT,0,0.97,1,3600.974819,0,0.650,0.643,0.989,0.882
blsc,4,2,FlowOCT,0,0.88,0.964028777,3600.167418,0,0.724,0.720,0.892,0.833
blsc,4,2,FlowOCT,0,0.89,0.96350365,3600.187451,0,0.731,0.726,0.893,0.880
blsc,4,2,FlowOCT,0,0.9,0.963768116,3600.253005,0,0.733,0.720,0.900,0.818
blsc,4,2,FlowOCT,0,0.91,0.977272727,3600.201955,0,0.645,0.599,0.917,0.920
blsc,4,2,FlowOCT,0,0.92,0.964028777,3600.230867,0,0.729,0.720,0.923,0.804
blsc,4,2,FlowOCT,0,0.93,0.964285714,3600.31722,0,0.724,0.720,0.941,0.863
blsc,4,2,FlowOCT,0,0.94,0.971631206,3600.170969,0,0.724,0.739,0.941,0.918
blsc,4,2,FlowOCT,0,0.95,0.964539007,3600.186633,0,0.726,0.739,0.954,0.957
blsc,4,2,FlowOCT,0,0.96,0.964788732,3600.126727,0,0.722,0.732,0.961,0.956
blsc,4,2,FlowOCT,0,0.97,0.967105263,3600.273377,0,0.697,0.713,0.974,0.952
blsc,4,3,FlowOCT,0,0.88,0.994780793,3600.158287,0,0.776,0.707,0.902,0.750
blsc,4,3,FlowOCT,0,0.89,0.996413934,3600.185098,0,0.771,0.720,0.901,0.758
blsc,4,3,FlowOCT,0,0.9,0.994780793,3600.180279,0,0.776,0.707,0.902,0.750
blsc,4,3,FlowOCT,0,0.91,0.996516165,3600.154247,0,0.763,0.694,0.914,0.763
blsc,4,3,FlowOCT,0,0.92,0.994923858,3600.145433,0,0.769,0.707,0.921,0.770
blsc,4,3,FlowOCT,0,0.93,0.996735733,3600.263514,0,0.741,0.669,0.950,0.813
