dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,2,2,C-BinOCT,0,0.6,1.31E-05,143.285197,0,0.558,0.493,0.657,0.618
ctmc,2,2,C-BinOCT,0,0.62,4.94E-05,166.5178361,0,0.558,0.493,0.657,0.618
ctmc,2,2,C-BinOCT,0,0.64,4.28E-05,132.8429499,0,0.558,0.493,0.657,0.618
ctmc,2,2,C-BinOCT,0,0.66,7.72E-05,137.380877,0,0.541,0.485,0.795,0.767
ctmc,2,2,C-BinOCT,0,0.68,7.72E-05,126.3479469,0,0.541,0.485,0.795,0.767
ctmc,2,2,C-BinOCT,0,0.7,9.78E-05,104.2926691,0,0.541,0.485,0.795,0.767
ctmc,2,2,C-BinOCT,0,0.72,9.78E-05,135.97699,0,0.541,0.485,0.795,0.767
ctmc,2,3,C-BinOCT,0,0.54,3.56E-05,137.239625,0,0.545,0.547,0.641,0.600
ctmc,2,3,C-BinOCT,0,0.56,0,166.5391691,0,0.545,0.547,0.641,0.600
ctmc,2,3,C-BinOCT,0,0.58,1.58E-05,134.523932,0,0.545,0.547,0.641,0.600
ctmc,2,3,C-BinOCT,0,0.6,0,137.7194581,0,0.545,0.547,0.641,0.600
ctmc,2,3,C-BinOCT,0,0.62,0,123.265907,0,0.545,0.547,0.641,0.600
ctmc,2,3,C-BinOCT,0,0.64,5.96E-05,113.6971269,0,0.545,0.547,0.641,0.600
ctmc,2,3,C-BinOCT,0,0.66,1.49E-05,143.8935978,0,0.525,0.553,0.759,0.696
ctmc,2,3,C-BinOCT,0,0.68,1.49E-05,131.2035148,0,0.525,0.553,0.759,0.696
ctmc,2,3,C-BinOCT,0,0.7,5.98E-05,153.2217891,0,0.525,0.534,0.725,0.648
